Day,TCS,HDFCBANK,JINDALSTEL,TATAMOTORS,INFY,BOSCHLTD
1,1.439253728,-0.4258802382,-0.4960994529,0.5897431849,-0.2121057104,-1.882246101
2,1.382146625,-1.650396117,-0.4212463894,0.9623223378,-0.02542482505,-2.474509657
3,0.9213204312,-0.2087857892,-0.4528790951,0.7764476213,-0.5618771015,1.556493552
4,-0.5728872218,-0.3151355905,-0.3643784223,0.5631029767,-0.9286790829,-1.202983596
5,1.275049101,0.09821612328,-0.1040959542,-0.4839901743,-0.1082624659,-2.01811122
6,-0.32883204,0.63289412,0.3258618078,0.003768435567,-0.5896022512,2.494627788
7,-0.1463408055,0.411696961,-0.5389365891,0.1176271519,0.8223805659,-3.708946501
8,1.058436643,-1.158514018,0.4238113304,-0.3700312938,0.3617145983,-1.61786448
9,-0.1110804426,-1.159859704,0.2098162943,0.1748470656,0.624074648,2.360908023
10,-0.0388811331,-0.6895104488,0.2133956086,0.135002887,0.3663628851,5.610538687
11,-0.3223634922,-1.052268617,-0.1014232072,-0.03999774254,-0.160511369,0.1353355501
12,-0.6657657312,-2.223733142,0.07684891724,-0.1199249165,0.2504474835,1.918317059
13,-0.7046200045,-0.6562229986,0.2251687171,-0.02826244985,0.2599711556,-2.093713041
14,-0.3537627307,-2.003565854,0.2509803874,0.02689322767,-0.6889379146,4.357602206
15,0.1519274209,-1.768895609,-0.1359794488,-0.2932607922,0.3923553228,-1.239391714
